id,Title,Keywords
59,scIVA: Single Cell Interactive Visualisation and Analysis,"visualisation, data mining, web app, reproducibility, bioinformatics, big data"
61,"Using mommix for fast, large-scale genome-studies in the presence of gene-environment and gene-gene interaction","algorithms, models, bioinformatics, big data"
20,mixOmics: An R package for ‘omics feature selection and multiple data integration,"data mining, applications, bioinformatics, multivariate, big data"
32,Quantifying the immune system with the MMI package,"models, data mining, applications, reproducibility, bioinformatics, interfaces"
