id,Title,Keywords
109,Modelling Field Operation Capacity using Generalised Additive Model and Random Forest,"algorithms, models, multivariate, big data"
203,iml: A new Package for Model-Agnostic Interpretable Machine Learning,"algorithms, models, machine learning"
43,Deep learning at scale with Azure Batch AI,"algorithms, models, Deep learning"
58,Teach yourself deep-learning with R,"visualisation, algorithms, models, Deep Neural Nets, CNNs, MLPs, Machine Learning"
