id,Title,Keywords
166,Augmented Lagrangian for constrained optimizations in Empirical Likelihood estimations,"algorithms, models"
56,Disciplined Convex Optimization with CVXR,"models, data mining, applications, multivariate, big data, interfaces, optimization"
24,Stochastic Gradient Descent: boosting its performances in R,"data mining, big data"
14,Robustness criterion for the derivative kriging-based optimization,"algorithms, models, applications"
