id,Title,Keywords
164,What's in a name? 20 years of R release management,"community/education, History of R"
85,Lessons learned from developing R-based curricula across disciplines,community/education
19,Student Performance and Acceptance of Technology in a Statistics Course Based on R mosaic - Results from a Pre- and Post-Test Survey,"community/education, teaching"
25,Teaching statistics - with all learning resources written in R Markdown,"community/education, teaching"

