id,Title,Keywords
177,Enabling Analysts: Embracing R in a National Statistics Office,Official Statistics
84,tRansport tools for the World (Health Organization),"applications, reproducibility, community/education, space/time, big data"
231,Developing an Uncertainty Toolbox for Agriculture: a closer look at Sensitivity Analysis,"visualisation, applications, web app, space/time, big data, R6 and Reference Classes"
62,"Models of global marine biodiversity: an exercise in mixing R markdown, parallel processing and caching on supercomputers","models, applications, reproducibility, performance, big data"
