id,Title,Keywords
52,Spark on demand with AZTK,big data
199,Visualizations to guide dimension reduction for sparse high-dimensional data,visualisation
147,Automated Visualisations for Big Data,"visualisation, reproducibility, big data"
175,Large Scale Data Visualisation with Deck.gl and Shiny,"visualisation, web app, space/time"

