id,Title,Keywords
149,Singscore: a single-sample gene-set scoring method for analysing molecular signatures,"visualisation, applications, bioinformatics"
139,clustree: a package for producing clustering trees using ggraph,"visualisation, algorithms, data mining, bioinformatics"
151,Celaref: Annotating single-cell RNAseq clusters by similarity to reference datasets,"applications, bioinformatics"
122,High Performance Computing Using R for High Dimensional Surrogacy Applications in Drug Development,"models, data mining, applications, bioinformatics, performance, big data"
