id,Title,Keywords
165,jstor: An R package for Analysing Scientific Articles,"data mining, text analysis/NLP"
77,Strategic Capability Analysis for CANSOFCOM,"visualisation, text analysis/NLP"
13,",Topic Modeling with LDA and NMF from a Qualitative Content Analysis Perspective","visualisation, text analysis/NLP, interfaces"
8,From humble data to training data,"data mining, applications, text analysis/NLP"

