id,Title,Keywords
23,bayesImageS: an R package for Bayesian image analysis,"algorithms, applications, space/time"
90,A new R package for spatial predictive modelling: spm,"models, data mining, reproducibility, space/time, performance, spatial predictive models; hybrid methods of geostatistics and machine learning; model selection and validation; predictive accuracy"
162,Maxcovr: Find the best locations for facilities using the maximal covering location problem,"visualisation, algorithms, models, applications, space/time, interfaces"
