id,Title,Keywords
112,fasster: Forecasting multiple seasonality with state switching,"algorithms, models, streaming data, timeseries"
181,seer: R package for feature-based forecast-model selection,"algorithms, models, time series"
150,Tidy forecasting in R,space/time
73,A routine for measuring the nonstationarity of a time series,"space/time, streaming data"
